tanglish,tamil
ooyirr nala wazhum,உயிர் நல்லா வாழும்.
raeelway sdadioon eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa ezhzharoom ebdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
inikoo semaa vipee,இன்னைக்கு செம வைப்.
raaizhwaay sdadeeon eepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sozhreen naallaa getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
wibe pantrom,வைப் பண்றோம்.
naanbaa ebdi irooka,நண்பா எப்படி இருக்க?
wibe naallaa irruku,வைப் நல்லா இருக்கு.
raeelway stateeon eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
needhhu engaa bonaa,நேத்து எங்க போன?
raizhway staation eppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sari aapprraam paarkazham,சரி அப்புறம் பார்க்கலாம்.
raeezhway sdadion yeepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raaizhwaay sdhadhioon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellarrum eebdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
czhass eepo aarampam,வகுப்பு எப்போ ஆரம்பம்?
weetlaa yellaarrum epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha ezhzharoom yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdadeeon yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
czhass eppo arambam,வகுப்பு எப்போ ஆரம்பம்?
solrreen nala getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
wedu veezhai mutinjaatu,வீட்டு வேலை முடிஞ்சது.
vaazhkaaiyizh veethri beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
raeelway sdadeeon yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
wipe naallaa irugu,வைப் நல்லா இருக்கு.
veethlaa yellarrum epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa yelaarum yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weetoo veezhai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
nambeekaee taan yeellam,நம்பிக்கை தான் எல்லாம்.
pali goodam boonoom,பள்ளி கூடம் போனோம்.
orruku poriya,ஊருக்கு போறியா?
palli goodam bonom,பள்ளி கூடம் போனோம்.
taangaachi enga poona,தங்கச்சி எங்க போன?
yooffice poidu waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
raaizhwaay sdhaadhion ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vibe nala irrookoo,வைப் நல்லா இருக்கு.
poos staant yenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rraailwaay sdadioon yepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
capdion nazhzha iroogoo,கேப்ஷன் நல்லா இருக்கு.
eeneeku naalaa naaaazh,இன்னைக்கு நல்ல நாள்.
rromba gaavaalaaiyaa iruku,ரொம்ப கவலையா இருக்கு.
wittoogoo ebo vaarraa,வீட்டுக்கு எப்போ வர?
saarri yaapprraam parrkalam,சரி அப்புறம் பார்க்கலாம்.
caapthion nala eerruku,கேப்ஷன் நல்லா இருக்கு.
paali kootam bonom,பள்ளி கூடம் போனோம்.
yoooorugu porriya,ஊருக்கு போறியா?
romba kaavaalaaiyaa eerruku,ரொம்ப கவலையா இருக்கு.
veedduku ebo warra,வீட்டுக்கு எப்போ வர?
nambeegaee tan eelam,நம்பிக்கை தான் எல்லாம்.
veethla ellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
amma saaaapaatu rreeadyaa,அம்மா சாப்பாடு ரெடியா?
rraeelway stateeon yeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
aappaa eepo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
solrreen nalla getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
pus sdaand yeenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway sdhaadhion yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellaroom yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdadion yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yaama adhu dhan,ஆமா அது தான்.
raailwaay sdhadhioon eeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yepti irrukingaa,எப்படி இருக்கீங்க?
boos sdhand yeenka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raizhway staation eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
offise poidhu warren,அலுவலகம் போயிட்டு வர்றேன்.
captheeon naallaa eeruku,கேப்ஷன் நல்லா இருக்கு.
rrombaa gaavaalaaiyaa eerruku,ரொம்ப கவலையா இருக்கு.
veethlaa yeelarum epdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus stant yenkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
thaangaasi eenka ponaa,தங்கச்சி எங்க போன?
raaizhwaay sdhaadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
roomba nandri,ரொம்ப நன்றி
rombaa kavalaiya iruku,ரொம்ப கவலையா இருக்கு.
veeeetzha ezhzharoom yeptee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa ezhzharoom yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway sdhadhion ebbo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
karrunaee kaatoongazh,கருணை காட்டுங்கள்.
raailwaay sdhaadhion yeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla yellaroom epti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
abba yeeppo waarrrraaaangaa,அப்பா எப்போ வர்றாங்க?
rromba naandri,ரொம்ப நன்றி
raizhway sdhadhion eeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdhadhioon yeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway stateeon yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdadion eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rompa kavazhaiya irugu,ரொம்ப கவலையா இருக்கு.
office poeedu vareen,அலுவலகம் போயிட்டு வர்றேன்.
poos sthaand yengaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yaaaamaa aatu tan,ஆமா அது தான்.
raeezhway sdhaadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
ama yadhoo tan,ஆமா அது தான்.
frriendu caazhzh panran,பிரெண்டு கால் பண்றான்.
veedduku yeebo vaaraa,வீட்டுக்கு எப்போ வர?
ooravinarkal wantanga,உறவினர்கள் வந்தாங்க.
naanpaa epdi irugaa,நண்பா எப்படி இருக்க?
solrreen nazhzha getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
dhangachee yeenka poona,தங்கச்சி எங்க போன?
vedhla yellaroom yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway stateeon eppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos staand yenkaa eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yoffeece poidoo waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
vaazhkaaiyizh wethri perroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
yepti irookinga,எப்படி இருக்கீங்க?
bus sdhaand engaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
witla yeelarum epti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
projeecth reeaty paanraa,புராஜெக்ட் ரெடி பண்றா.
paali goooodam poonoom,பள்ளி கூடம் போனோம்.
bus sthaand engaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
boos stant yeenka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yoffeese poeethu vareen,அலுவலகம் போயிட்டு வர்றேன்.
yaapaa yeeppo varranka,அப்பா எப்போ வர்றாங்க?
witla yellarrum epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raizhway sdadeeon yeepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nampeekaee dhan yeelam,நம்பிக்கை தான் எல்லாம்.
raeezhway stateeon yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sarree apram paaaarrkaalaam,சரி அப்புறம் பார்க்கலாம்.
wethu weezhai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
wittugu yeboo warra,வீட்டுக்கு எப்போ வர?
yooooruggu,ஊருக்கு
veethlaa yellaarrum yeepti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
aaaamaa aadhu taan,ஆமா அது தான்.
slass eepo aarampam,வகுப்பு எப்போ ஆரம்பம்?
veeeetzha ezhzharoom yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yellarrum epdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha yellarroom eebdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
aaaamaa adhu dhan,ஆமா அது தான்.
projeecd rready panra,புராஜெக்ட் ரெடி பண்றா.
ama adhoo tan,ஆமா அது தான்.
raailwaay stateeon eepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeelway sdhadhioon yeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha ezhzharoom epti irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
troogam seyyaadhe,துரோகம் செய்யாதே.
frriendu cazhzh banran,பிரெண்டு கால் பண்றான்.
raailwaay sdadion eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eeneeku velaai irugu,இன்னைக்கு வேலை இருக்கு.
veebe nazhzha irrookoo,வைப் நல்லா இருக்கு.
witla ellarrum eebdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdhadhioon yepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yattendance vandhusa,வருகைப்பதிவு வந்துச்சா?
dhannee weenum,தண்ணி வேணும்.
nethu yenga bona,நேத்து எங்க போன?
aappaa eepo warraanga,அப்பா எப்போ வர்றாங்க?
roompa kavalaeeya irruku,ரொம்ப கவலையா இருக்கு.
raaizhwaay staation yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellarroom yepdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa yellarroom yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yellaarrum yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdhadhioon eepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vittugu yepo warra,வீட்டுக்கு எப்போ வர?
wazhkaeeyeezh wethri peruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
raaizhwaay staation eepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa ezhzharoom yeepti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
dhangachee yenga boona,தங்கச்சி எங்க போன?
weedu wezhaai mudinjadhu,வீட்டு வேலை முடிஞ்சது.
threndeeng witeoo atu,டிரெண்டிங் வீடியோ அது.
wazhkaeeyeezh vethree beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
boos sdaand yengaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
bus sdhaand yeenka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weetlaa yellaarrum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
thangachee engaa ponaa,தங்கச்சி எங்க போன?
boos sdhand enka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
widu wezhaai mudinjadhu,வீட்டு வேலை முடிஞ்சது.
veepe nalla eerruku,வைப் நல்லா இருக்கு.
saanthosaam perumaai,சந்தோஷம் பெருமை.
commeendh panunka maakkaazhe,கமெண்ட் பண்ணுங்க மக்களே.
neethhu yenkaa poona,நேத்து எங்க போன?
thaangaachi enga boona,தங்கச்சி எங்க போன?
raaizhwaay sdadioon eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha yelaarum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdhaadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
commendh paanunkaa maakaale,கமெண்ட் பண்ணுங்க மக்களே.
prrojeect ready panrra,புராஜெக்ட் ரெடி பண்றா.
rraailwaay sdhaadhion epoo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
dhangachee enka poona,தங்கச்சி எங்க போன?
pus sthand engaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
nethoo yenga bona,நேத்து எங்க போன?
uyeerr naalaa waazhum,உயிர் நல்லா வாழும்.
widduku yepo waarraa,வீட்டுக்கு எப்போ வர?
boos stant yenkaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
sarree apprram baaaarkaalaam,சரி அப்புறம் பார்க்கலாம்.
veethla yellarroom yepdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha ezhzharoom epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdadeeon ebbo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellaarrum ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla yellaroom yepdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nambikai dhaaaan ellaam,நம்பிக்கை தான் எல்லாம்.
veethlaa yeelarum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
sarree aapprraam paaaarrkaalaam,சரி அப்புறம் பார்க்கலாம்.
veethlaa ellarrum epti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdadioon eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla ezhzharoom yepdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
friendu caal panrran,பிரெண்டு கால் பண்றான்.
saree aappraam paaaarrkaalaam,சரி அப்புறம் பார்க்கலாம்.
raeelway sdhadhioon ebbo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa ellarrum yepdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
aama yadhoo taaaan,ஆமா அது தான்.
ooruggu,ஊருக்கு
caabtion nalla irrookoo,கேப்ஷன் நல்லா இருக்கு.
veetzha ezhzharoom epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdhadhion ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saarri yaapprraam paaaarkaazhaam,சரி அப்புறம் பார்க்கலாம்.
pus stant yeenka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
wazhkaeeyeezh wetrree peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
veeeetzha yellaarrum ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yellarrum yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
widduku epo varra,வீட்டுக்கு எப்போ வர?
nampeekaee dhaan eelam,நம்பிக்கை தான் எல்லாம்.
rrombaa kavalaiya irookoo,ரொம்ப கவலையா இருக்கு.
witla ezhzharoom ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
kadaeeyeela wanku,கடையில வாங்கு.
rraeelway sdadioon eppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saari apram paarkazham,சரி அப்புறம் பார்க்கலாம்.
rraailwaay stateeon eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla ezhzharoom eebdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nampeekaee taan yelaam,நம்பிக்கை தான் எல்லாம்.
raeezhway staation eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
innigoo nala nazh,இன்னைக்கு நல்ல நாள்.
inikoo welai irookoo,இன்னைக்கு வேலை இருக்கு.
uyeerr nala vazhum,உயிர் நல்லா வாழும்.
waazhgaaiyil weedhri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
uyir naallaa valum,உயிர் நல்லா வாழும்.
paayaam yeen,பயம் ஏன்?
ama yadhoo dhaaaan,ஆமா அது தான்.
saari apram paaaarrkaalaam,சரி அப்புறம் பார்க்கலாம்.
govaam paadaadhe,கோபம் படாதே.
sandhhoosham perumaee,சந்தோஷம் பெருமை.
veetzha yellarrum yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
baalli goooodam bonom,பள்ளி கூடம் போனோம்.
innigoo vezhaai iroogoo,இன்னைக்கு வேலை இருக்கு.
weetlaa yeelarum epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
netu yenga poona,நேத்து எங்க போன?
ama aadhu dhaaaan,ஆமா அது தான்.
freeendu caazhzh banran,பிரெண்டு கால் பண்றான்.
frriendoo caall panran,பிரெண்டு கால் பண்றான்.
assignment yeezhudhidiya,அசைன்மென்ட் எழுதிட்டியா?
sozhraa masa,சொல்றா மச்சா.
vipee pantrom,வைப் பண்றோம்.
thrending wideeo yaatu,டிரெண்டிங் வீடியோ அது.
railway staation yeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yamma saabadoo reaatyaaaa,அம்மா சாப்பாடு ரெடியா?
raaizhwaay stateeon eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus stant yeenka iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
aammaa saapatu rreeadyaa,அம்மா சாப்பாடு ரெடியா?
dhhambee paadigiriyaa,தம்பி படிக்கிறியா?
sthathus paarrthiya,ஸ்டேட்டஸ் பார்த்தியா?
sozhren naallaa getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
saarri apram parkazham,சரி அப்புறம் பார்க்கலாம்.
bus sdaand enka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
boos sdaand engaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
colleke eppo muteeyum,கல்லூரி எப்போ முடியும்?
nethhoo eenka bona,நேத்து எங்க போன?
vethla yellarroom yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
eeneeku velaee irrookoo,இன்னைக்கு வேலை இருக்கு.
uyarram dhhodoo,உயரம் தொடு.
solleegee yebbo mutiyum,கல்லூரி எப்போ முடியும்?
veeeetzha yelaarum epti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla ezhzharoom yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdhadhioon eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
solleegee eeppo muteeyum,கல்லூரி எப்போ முடியும்?
weedu velaee mutinjaatu,வீட்டு வேலை முடிஞ்சது.
boos sdhaand enka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vedhla yellaarrum ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
sarree yaapprraam parkalam,சரி அப்புறம் பார்க்கலாம்.
veethla yellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdadeeon yeepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
thangachee enka boona,தங்கச்சி எங்க போன?
weeeedu wezhaee mutinjatu,வீட்டு வேலை முடிஞ்சது.
witla yellarrum yeptee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
solleegee eebbo mudiyum,கல்லூரி எப்போ முடியும்?
veethlaa yelaarum epdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha ellarrum yepdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vipee naalaa irookoo,வைப் நல்லா இருக்கு.
comment banunga maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
vethla yellaarrum yepdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
friendu caall baanraan,பிரெண்டு கால் பண்றான்.
frrieendu call paanraan,பிரெண்டு கால் பண்றான்.
eeneeku naallaa naazh,இன்னைக்கு நல்ல நாள்.
vipee nalla iroogoo,வைப் நல்லா இருக்கு.
rraailwaay sdhaadhion yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadeeon eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
neethhu eenka boona,நேத்து எங்க போன?
gadhaee soozhzhu,கதை சொல்லு.
widu wezhaai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
weetlaa yellarroom eebdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
naanbaa eptee iruga,நண்பா எப்படி இருக்க?
projeest reeady banra,புராஜெக்ட் ரெடி பண்றா.
trenting videoo atu,டிரெண்டிங் வீடியோ அது.
witla ellarrum eebdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla ellarrum epdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway staation yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
abba yeeppo varaanga,அப்பா எப்போ வர்றாங்க?
thaangaasi eenka bonaa,தங்கச்சி எங்க போன?
vethla ezhzharoom yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
marks vandhoorroochoo,மதிப்பெண்கள் வந்துருச்சு.
nedhoo enga bonaa,நேத்து எங்க போன?
friendu sall panrran,பிரெண்டு கால் பண்றான்.
raeelway staation eeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellarroom yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yellarroom yeptee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yeelarum yepdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
eenneegu sema weebe,இன்னைக்கு செம வைப்.
vethla yellaarrum yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway stateeon eeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
colleke yepoo moodiyoom,கல்லூரி எப்போ முடியும்?
sarri apram paarrkalam,சரி அப்புறம் பார்க்கலாம்.
wethu wezhaai muteenjatu,வீட்டு வேலை முடிஞ்சது.
raizhway stateeon epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
ama adhoo dhaan,ஆமா அது தான்.
raeelway sdadioon eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nedhoo yenkaa boona,நேத்து எங்க போன?
friendoo saall baanraan,பிரெண்டு கால் பண்றான்.
boos sthaand yenkaa eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway sdhadhioon yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
cabteeon naalaa eerugu,கேப்ஷன் நல்லா இருக்கு.
vethla yellarroom yepdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay stateeon eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rrombaa kavalaeeya irookoo,ரொம்ப கவலையா இருக்கு.
yaapaa eepo varaanga,அப்பா எப்போ வர்றாங்க?
